Evento 	Fecha 	Hora 	Lat 	Long 	Prof.					
(km) 	Int 	Mag 	Tipo Mag 	LocalizaciÛn 	info					
274455	10/07/2001	16:02:18	28.1306	-16.1801	16		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
274524	11/07/2001	7:16:57	28.1374	-16.1956	31		2.4	2	ATL¡NTICO-CANARIAS 	[+] info
276157	23/07/2001	23:22:05	28.1437	-16.1644	-999		2.2	2	ATL¡NTICO-CANARIAS 	[+] info
276158	23/07/2001	23:27:25	28.1545	-16.2914	-999		2.2	2	ATL¡NTICO-CANARIAS 	[+] info
278420	05/08/2001	5:29:34	28.4422	-16.5696	-999		2.5	2	NW PUERTO DE LA CRUZ.ITF 	[+] info
279031	09/08/2001	2:53:14	28.0705	-16.2428	10		2.5	2	ATL¡NTICO-CANARIAS 	[+] info
279417	11/08/2001	21:06:12	28.1266	-16.1926	20		2.7	2	ATL¡NTICO-CANARIAS 	[+] info
280036	15/08/2001	3:30:26	28.562	-16.733	28		3.1	2	ATL¡NTICO-CANARIAS 	[+] info
280671	21/08/2001	10:27:55	28.0649	-16.1362	-999		3.2	2	ATL¡NTICO-CANARIAS 	[+] info
281912	27/08/2001	14:36:52	28.0848	-16.245	25		3	2	ATL¡NTICO-CANARIAS 	[+] info
282722	01/09/2001	8:48:06	28.0917	-16.1715	18		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
283835	07/09/2001	18:41:59	28.0931	-16.1453	19		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
362193	11/09/2001	6:34:47	28.2211	-16.2332	1		3.1	2	ATL¡NTICO-CANARIAS 	[+] info
284636	12/09/2001	23:48:40	28.2131	-16.3509	-999		2.4	2	SE FASNIA.ITF 	[+] info
286861	25/09/2001	14:16:52	28.1907	-16.261	12		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
287352	30/09/2001	3:55:04	28.1951	-16.2487	-999		1.7	2	ATL¡NTICO-CANARIAS 	[+] info
287546	01/10/2001	10:45:48	28.1418	-16.1511	-999		2.7	2	ATL¡NTICO-CANARIAS 	[+] info
287791	03/10/2001	2:35:08	28.4301	-16.4984	1		2.4	2	NW SANTA ⁄RSULA.ITF 	[+] info
288588	06/10/2001	16:22:20	28.2492	-16.3099	-999		2	2	SE G‹ÕMAR.ITF 	[+] info
288637	07/10/2001	3:05:32	28.0351	-16.2237	-999		2.5	2	ATL¡NTICO-CANARIAS 	[+] info
289607	13/10/2001	22:44:38	28.1728	-16.1784	-999		2.2	2	ATL¡NTICO-CANARIAS 	[+] info
290421	19/10/2001	0:11:18	28.3368	-16.3422	-999		2	2	SE CANDELARIA.ITF 	[+] info
290996	22/10/2001	22:18:02	28.0855	-16.258	-999		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
290997	22/10/2001	23:01:53	28.1241	-16.4147	-999		1.8	2	SE ARICO.ITF 	[+] info
291261	25/10/2001	5:04:12	28.0943	-16.1482	15		3.1	2	ATL¡NTICO-CANARIAS 	[+] info
